|N|,|P|,|K|,VI1,VI2-VI3,VI4-VI6,VI7-VI9,Total
24,30,50,0.0,31.3,43.3,0.0,74.7
36,30,50,0.0,36.0,45.3,0.0,81.3
44,30,50,0.0,36.7,40.0,0.0,76.7
24,50,75,0.0,64.0,82.0,0.0,146.0
36,50,75,0.0,89.3,131.7,0.0,221.0
44,50,75,0.0,130.7,157.7,0.0,288.3
24,75,100,0.0,99.3,160.7,0.0,260.0
36,75,100,0.0,207.3,273.3,0.0,480.7
44,75,100,0.0,184.0,221.0,0.0,405.0
24,120,150,0.0,220.0,298.7,0.0,518.7
36,120,150,0.0,80.0,206.0,0.0,286.0
44,120,150,0.3,264.7,333.7,0.0,598.7
24,>=160,>=200,0.0,37.0,51.5,0.0,88.5
>=36,>=160,>=200,0.0,158.4,179.6,0.0,338.0
