instance,solver,solver_type,class,family,objective,gap,root_bound_after_cuts,integrality_gap_root,status,time_s,nodes,presolve_time,time_to_best_s,memory_delta_gb,num_vars,num_constrs,percent_cs_delivery,num_delivered_parcels,num_parcels,num_cs
class_0_fam_0_inst_0.json,MILP_Cuts,MILP,0,0,298.79,0.0,298.15,0.0021419726229125577,2,48.10313534736633,1,4.56,20.763890266418457,-0.00246429443359375,330880,547525,48.0,24,50,75
class_0_fam_0_inst_1.json,MILP_Cuts,MILP,0,0,272.29,0.0,271.0400000000001,0.004590693745638631,2,99.73278665542603,1,3.96,20.483517169952393,0.0743255615234375,330530,547175,52.0,26,50,75
class_0_fam_0_inst_2.json,MILP_Cuts,MILP,0,0,268.66,0.0,266.4,0.008412119407429641,2,184.3990821838379,14,4.13,68.71650791168213,0.005199432373046875,331230,547875,57.99999999999999,29,50,75
class_0_fam_1_inst_0.json,MILP_Cuts,MILP,0,1,272.55,0.0,268.05,0.01651073197578426,2,32.67669105529785,45,3.93,10.64273715019226,0.062305450439453125,484734,803203,62.0,31,50,75
class_0_fam_1_inst_1.json,MILP_Cuts,MILP,0,1,253.51000000000002,0.0,252.18,0.005246341367204498,2,38.36819338798523,1,4.05,12.081477403640747,-0.0175018310546875,486784,805253,64.0,32,50,75
class_0_fam_1_inst_2.json,MILP_Cuts,MILP,0,1,279.53,0.0,272.89,0.023754158766500867,2,251.23694348335266,1667,4.47,35.46245884895325,-0.05887603759765625,489134,807603,62.0,31,50,75
class_0_fam_3_inst_0.json,MILP_Cuts,MILP,0,3,176.98000000000002,0.0,175.41,0.008871058876709354,2,64.59021425247192,57,5.84,30.362581253051758,0.011627197265625,581387,959254,86.0,43,50,75
class_0_fam_3_inst_1.json,MILP_Cuts,MILP,0,3,276.22,0.0,276.2199999999999,4.115807607038448e-16,2,52.220871686935425,1,7.18,28.042008876800537,0.01340484619140625,580587,958454,60.0,30,50,75
class_0_fam_3_inst_2.json,MILP_Cuts,MILP,0,3,197.77,0.0,197.57,0.0010112757243263238,2,54.076266050338745,1,6.38,23.23125982284546,0.06151580810546875,569237,938619,82.0,41,50,75
class_1_fam_0_inst_0.json,MILP_Cuts,MILP,1,0,221.28000000000003,0.0,208.52,0.057664497469269785,2,391.5932536125183,781,6.14,63.70350098609924,-0.038188934326171875,499005,822950,88.0,66,75,100
class_1_fam_0_inst_1.json,MILP_Cuts,MILP,1,0,305.24,0.0,296.52,0.028567684445026952,2,1559.9105160236359,839,42.77,353.4070019721985,-0.04189300537109375,499680,823625,74.66666666666667,56,75,100
class_1_fam_0_inst_2.json,MILP_Cuts,MILP,1,0,254.77,0.0,254.74000000000004,0.00011775326765307028,2,495.43484377861023,1,14.19,309.8659613132477,-0.029216766357421875,499080,823025,81.33333333333333,61,75,100
class_1_fam_1_inst_0.json,MILP_Cuts,MILP,1,1,291.63,0.0,288.15999999999997,0.011898638686006335,2,162.19314408302307,71,10.9,38.1593873500824,-0.0271148681640625,737434,1213603,76.0,57,75,100
class_1_fam_1_inst_1.json,MILP_Cuts,MILP,1,1,282.77,0.0,274.48,0.029317112847897456,2,316.73936223983765,1117,12.02,84.51671361923218,-0.03163909912109375,736084,1212253,82.66666666666667,62,75,100
class_1_fam_1_inst_2.json,MILP_Cuts,MILP,1,1,194.06000000000003,5.1530454498415347e-05,191.98000000000002,0.010718334535710668,2,260.93186020851135,486,14.02,155.1540801525116,-0.02718353271484375,740734,1216903,90.66666666666666,68,75,100
class_1_fam_3_inst_0.json,MILP_Cuts,MILP,1,3,358.13,5.5845642643681934e-05,348.64,0.026498757434451202,2,521.3608732223511,1746,31.82,137.47762060165405,-0.046802520751953125,893737,1471389,65.33333333333333,49,75,100
class_1_fam_3_inst_1.json,MILP_Cuts,MILP,1,3,281.55,7.079159136594232e-05,274.65,0.02450719232818339,2,561.6630494594574,485,24.5,180.90662145614624,-0.030216217041015625,900037,1477689,77.33333333333333,58,75,100
class_1_fam_3_inst_2.json,MILP_Cuts,MILP,1,3,364.77000000000004,5.4829070373217785e-05,352.7,0.03308934397017312,2,490.2886321544647,1687,36.18,107.29684567451477,-0.024356842041015625,895762,1473414,64.0,48,75,100
class_2_fam_0_inst_0.json,MILP_Cuts,MILP,2,0,507.87999999999994,0.012621091596439931,501.47,0.012621091596439931,9,3723.5491778850555,1.0,41.92,2563.0086855888367,-0.049835205078125,827675,1344760,67.5,81,120,150
class_2_fam_0_inst_1.json,MILP_Cuts,MILP,2,0,383.46000000000004,0.08167735878579264,352.14,0.08167735878579264,9,3673.722052335739,79.0,22.42,3502.17547082901,-0.031986236572265625,832235,1349320,85.83333333333333,103,120,150
class_2_fam_0_inst_2.json,MILP_Cuts,MILP,2,0,468.18999999999994,0.07302590828509781,434.0,0.07302590828509781,9,3660.0025956630707,42.0,52.51,2217.2493958473206,-0.047969818115234375,829835,1346920,76.66666666666667,92,120,150
class_2_fam_1_inst_0.json,MILP_Cuts,MILP,2,1,485.92999999999984,0.037803798901075956,467.04,0.03887391188031161,9,3778.3624835014343,23.0,96.67,2753.139363527298,-0.04926300048828125,1208199,1968228,76.66666666666667,92,120,150
class_2_fam_1_inst_1.json,MILP_Cuts,MILP,2,1,441.09999999999997,0.0,432.03000000000003,0.020562230786669546,2,3247.385228395462,3710,110.24,727.548730134964,-0.030040740966796875,1202439,1962468,77.5,93,120,150
class_2_fam_1_inst_2.json,MILP_Cuts,MILP,2,1,376.36000000000007,0.0,375.34000000000003,0.002710171112764477,2,542.449910402298,79,23.62,467.4551136493683,-0.04615020751953125,1205919,1965948,90.83333333333333,109,120,150
class_2_fam_3_inst_0.json,MILP_Cuts,MILP,2,3,503.46000000000004,0.050113216541532626,477.68,0.051205656854566454,9,3889.7844808101654,316.0,139.87,2924.5716140270233,-0.05406951904296875,1491282,2413274,73.33333333333333,88,120,150
class_2_fam_3_inst_1.json,MILP_Cuts,MILP,2,3,488.48,0.0551916148051098,460.51,0.05725925319358014,9,3815.9021470546722,930.0,121.74,1659.7790021896362,-0.0330657958984375,1498722,2420714,71.66666666666667,86,120,150
class_2_fam_3_inst_2.json,MILP_Cuts,MILP,2,3,452.69999999999993,0.04283189750386555,432.98,0.043560857079743574,9,3819.9935505390167,1174.0,85.02,694.5222795009613,-0.029056549072265625,1495122,2417114,75.0,90,120,150
class_3_fam_0_inst_0.json,MILP_Cuts,MILP,3,0,1195.15,0.05335731916495835,1131.38,0.05335731916495835,9,3653.9877054691315,1.0,18.12,793.4286704063416,-0.05744171142578125,1149645,1838410,28.749999999999996,46,160,200
class_3_fam_3_inst_0.json,MILP_Cuts,MILP,3,3,1611.0,1.0,,,9,3701.9400765895844,1.0,90.94,1.5087604522705078,-0.057552337646484375,2046772,3274844,0.0,0,160,200
class_3_fam_1_inst_0.json,MILP_Cuts,MILP,3,1,498.38,0.07700951081504072,362.05,,9,3691.4486825466156,1.0,98.1,3450.2184388637542725,-0.061527252197265625,1657169,2669518,88.125,141,160,200
class_5_fam_0_inst_0.json,MILP_Cuts,MILP,5,0,1554.2199999999998,0.01966259602887604,1523.1400000000008,0.019997168997953327,9,3799.1476032733917,1.0,107.36,2940.0034391880035,-0.05561065673828125,1931305,3006350,42.4,106,250,300
class_5_fam_0_inst_1.json,MILP_Cuts,MILP,5,0,1474.6899999999998,0.08961883514501344,1342.53,0.08961883514501344,9,3806.3427855968475,1.0,142.99,2930.0412986278534,-0.029621124267578125,1899555,2974600,45.6,114,250,300
class_5_fam_0_inst_2.json,MILP_Cuts,MILP,5,0,2492.0,0.41320224719101123,,,9,3765.1528210639954,1.0,192.31,2.762454032897949,-0.035297393798828125,1924055,2999100,0.0,0,250,300
class_5_fam_1_inst_0.json,MILP_Cuts,MILP,5,1,,,,,OutOfMemory,1395.8685908317566,,,,-0.05866241455078125,2755059,4335128,,,250,300
class_5_fam_1_inst_1.json,MILP_Cuts,MILP,5,1,,,,,OutOfMemory,666.0374462604523,,,,-0.0262298583984375,2737059,4317128,,,250,300
class_5_fam_1_inst_2.json,MILP_Cuts,MILP,5,1,,,,,OutOfMemory,863.2217245101929,,,,-0.022724151611328125,2746809,4326878,,,250,300
class_5_fam_3_inst_0.json,MILP_Cuts,MILP,5,1,,,,,OutOfMemory,1395.8685908317566,,,,-0.05866241455078125,2755059,4335128,,,250,300
class_5_fam_3_inst_1.json,MILP_Cuts,MILP,5,1,,,,,OutOfMemory,666.0374462604523,,,,-0.0262298583984375,2737059,4317128,,,250,300
class_5_fam_3_inst_2.json,MILP_Cuts,MILP,5,1,,,,,OutOfMemory,566.2217245178929,,,,-0.022724151611328125,2746809,4326878,,,250,300
class_6_fam_0_inst_0.json,MILP_Cuts,MILP,6,0,96.41000000000001,0.0,92.06,0.04511980085053426,2,36.22296595573425,40,3.18,13.582118272781372,-0.06063079833984375,185515,311195,100.0,30,30,50
class_6_fam_0_inst_1.json,MILP_Cuts,MILP,6,0,98.21000000000001,0.0,96.36000000000001,0.018837185622645292,2,25.151287078857422,1,2.54,5.991674423217773,0.035282135009765625,184795,310475,86.66666666666667,26,30,50
class_6_fam_0_inst_2.json,MILP_Cuts,MILP,6,0,99.89999999999999,0.0,99.74000000000005,0.0016016016016009986,2,38.92039442062378,1,2.76,10.547483444213867,0.0084381103515625,191815,322620,86.66666666666667,26,30,50
class_6_fam_1_inst_0.json,MILP_Cuts,MILP,6,1,133.68,0.0,132.26,0.010622381807301136,2,39.18811583518982,6,3.33,8.465583801269531,0.032779693603515625,270899,452958,73.33333333333333,22,30,50
class_6_fam_1_inst_1.json,MILP_Cuts,MILP,6,1,139.17,0.0,138.93000000000004,0.0017245095925842659,2,33.79719352722168,1,3.54,10.688930034637451,0.008098602294921875,271979,454038,70.0,21,30,50
class_6_fam_1_inst_2.json,MILP_Cuts,MILP,6,1,150.42000000000002,0.0,150.24,0.001196649381731198,2,33.84000205993652,1,3.46,7.3641321659088135,0.016475677490234375,279089,466273,73.33333333333333,22,30,50
class_6_fam_3_inst_0.json,MILP_Cuts,MILP,6,3,178.03,0.0,177.96,0.0003931921586249125,2,13.728442430496216,1,0.14,2.384122848510742,0.028484344482421875,303961,506522,56.666666666666664,17,30,50
class_6_fam_3_inst_1.json,MILP_Cuts,MILP,6,3,108.37,0.0,107.97,0.0036910584109994065,2,41.97206234931946,1,4.35,9.131227493286133,0.0099945068359375,343502,571689,90.0,27,30,50
class_6_fam_3_inst_2.json,MILP_Cuts,MILP,6,3,135.27,0.0,134.81999999999996,0.003326679973386896,2,40.56995105743408,1,4.37,10.739808559417725,0.030490875244140625,327302,545239,73.33333333333333,22,30,50
